cruise_id	lat	lon	sample	depth	date	time	sequencing_chemistry	non_dup_reads	16S_reads	read_length	SRX
HOT-194	22.75	-158	HOT194_25m	25	20070806	234	flex	530175	929	256.3	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556047"">SRX556047</a>"
HOT-195	22.75	-158	HOT195_25m	25	20070905	9	flex	458155	968	253.7	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556048"">SRX556048</a>"
HOT-196	22.75	-158	HOT196_25m	25	20071002	1200	flex	529406	892	244.7	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556049"">SRX556049</a>"
HOT-197	22.75	-158	HOT197_25m	25	20071201	1051	flex	601796	1015	239.3	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556050"">SRX556050</a>"
HOT-198	22.75	-158	HOT198_25m	25	20071220	938	flex	517483	930	214.2	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556052"">SRX556052</a>"
HOT-199	22.75	-158	HOT199_25m	25	20080129	1133	titanium	1378412	2709	392.1	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556051"">SRX556051</a>"
HOT-200	22.75	-158	HOT200_25m	25	20080223	1115	titanium	1287149	2750	339.4	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556053"">SRX556053</a>"
HOT-201	22.75	-158	HOT201_25m	25	20080527	1034	titanium	1284251	2599	389.1	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556054"">SRX556054</a>"
HOT-202	22.75	-158	HOT202_25m	25	20080625	1046	titanium	1481716	3008	334.3	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556056"">SRX556056</a>"
HOT-203	22.75	-158	HOT203_25m	25	20080726	1159	titanium	1400027	2918	288	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556055"">SRX556055</a>"
HOT-204	22.75	-158	HOT204_25m	25	20080816	1025	titanium	1282945	2984	345.7	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556057"">SRX556057</a>"
HOT-205	22.75	-158	HOT205_25m	25	20081010	1034	titanium	1394074	3170	409.8	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556058"">SRX556058</a>"
HOT-206	22.75	-158	HOT206_25m	25	20081130	1201	titanium_halfplate	793958	1865	360.8	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556059"">SRX556059</a>"
HOT-208	22.75	-158	HOT208_25m	25	20090120	1135	titanium	1333536	2841	420.9	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556060"">SRX556060</a>"
HOT-209	22.75	-158	HOT209_25m	25	20090217	1254	titanium	1239004	2725	413.8	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556062"">SRX556062</a>"
HOT-210	22.75	-158	HOT210_25m	25	20090428	1042	titanium	1236790	2899	403.4	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556063"">SRX556063</a>"
HOT-211	22.75	-158	HOT211_25m	25	20090528	1353	titanium_halfplate	729212	1717	434.9	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556061"">SRX556061</a>"
HOT-212	22.75	-158	HOT212_25m	25	20090703	1137	titanium	1273388	2842	386.9	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556065"">SRX556065</a>"
HOT-213	22.75	-158	HOT213_25m	25	20090724	1202	titanium	1318710	3634	413.7	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556064"">SRX556064</a>"
HOT-214	22.75	-158	HOT214_25m	25	20090818	1051	titanium	1188282	2726	415.5	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556066"">SRX556066</a>"
HOT-215	22.75	-158	HOT215_25m	25	20090924	1242	titanium	1132896	2855	360.5	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556067"">SRX556067</a>"
HOT-194	22.75	-158	HOT194_500m	500	20070805	336	flex	384324	695	245.2	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556068"">SRX556068</a>"
HOT-195	22.75	-158	HOT195_500m	500	20070903	2145	titanium	1498998	2506	366	"<a href=""http://www.ncbi.nlm.nih.gov/sra/?term=SRX556069"">SRX556069</a>"
